Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
198.38;78.5;80;145;176;44;78.5816374370907;740.421376323552;22
198.55;78.5;80;136;113.6;28.4;78.5373633488464;718.858046980219;22
198.71;78.5;80;129;113.6;28.4;78.5200951203597;697.525409243386;22
198.88;78.4;80;188;103.2;25.8;78.4702267894407;678.020938964762;22
199.05;78.4;80;218;103.2;25.8;78.4422340434559;661.730766810214;22
199.21;78.4;80;162;174.4;43.6;78.4159974246454;646.038393122897;22
199.38;78.4;80;123;174.4;43.6;78.4062786155467;630.167052968303;22
199.55;78.4;80;67;80.8;20.2;78.4006463992463;610.961954851465;22
199.71;78.4;80;26;80.8;20.2;78.380370641595;589.569059030252;22
199.88;78.3;80;30;20.8;5.2;78.3251878183014;568.464235098688;22
200.05;78.3;80;33;20.8;5.2;78.3020950703589;549.807876043739;22
200.21;78.2;80;83;25.6;6.4;78.2621778198414;532.123191870836;22
200.38;78.2;80;34;25.6;6.4;78.2426485153664;516.966334520886;22
200.55;78.1;80;3;27.2;6.8;78.2006936108111;498.003836132445;22
200.71;78.1;80;0;27.2;6.8;78.1557862734518;478.894032681618;22
200.88;78.1;80;0;0;0;78.1022319134741;460.746728329035;22
201.05;78.1;80;0;0;0;78.08326948788;445.063367694092;22
201.21;78;80;0;0;0;78.0264000806007;428.195673928683;22
201.38;78;80;0;0;0;77.9866857745066;411.783422154443;22
201.55;77.9;80;0;0;0;77.9289065575631;395.920872143256;22
201.71;77.9;80;0;0;0;77.8869802264485;382.208930471917;22
201.88;77.9;80;0;0;0;77.8691791328497;368.110955623777;22
202.05;77.7;80;0;0;0;77.8034639032112;353.994517027817;22
202.21;77.7;80;0;0;0;77.7097979536684;340.365419630692;22
202.38;77.7;80;0;0;0;77.6728181871569;327.613360299693;22
202.55;77.6;80;0;0;0;77.6113059643321;315.228085967696;22
202.71;77.5;80;0;0;0;77.5564869928307;304.498358559966;22
202.88;77.5;80;0;0;0;77.4892931199697;293.038079234862;22
203.05;77.4;80;0;0;0;77.4613060220536;282.20752632833;22
203.21;77.4;80;0;0;0;77.3840655240224;271.308458164079;22
203.38;77.3;80;0;0;0;77.3256987917147;261.09807474444;22
203.55;77.3;80;800;0;0;77.2707065023392;259.103273251495;22
203.71;77.2;80;800;0;0;77.2274244730625;284.960693614713;22
203.88;77.1;80;800;640;160;77.1488369926461;312.325372133937;22
204.05;77.1;80;800;640;160;77.085553426806;339.181733787885;22
204.21;77.1;80;800;640;160;77.0563585413424;364.857669773933;22
204.38;77;80;1500;640;160;77.0185047739817;413.36565522648;22
204.55;77;80;1500;1200;300;77.0051729209686;464.972670552621;22
204.71;77;80;1500;1200;300;76.9888004000244;519.157024420119;22
204.88;77;80;1500;1200;300;76.9887042265289;571.03752486995;22
205.05;77;80;1500;1200;300;76.9940222956393;621.548420311646;22
205.21;77;80;1500;1200;300;77.0010025078978;670.11681786036;22
205.38;77;80;1500;1200;300;77.0082622732522;716.271931254596;22
205.55;77;80;1500;1200;300;77.0148655611734;757.03287966218;22
205.71;77;80;1500;1200;300;77.0219207380814;800.120149623841;22
205.88;77;80;1500;1200;300;77.0287724781903;841.793065925084;22
206.05;77.1;80;1500;1200;300;77.0878744813878;881.652168330368;22
206.21;77.1;80;1500;1200;300;77.1252803367705;920.104895370302;22
206.38;77.2;80;1500;1200;300;77.1690349670217;956.901048051734;22
206.55;77.2;80;1500;1200;300;77.2155930339967;992.922268217564;22
206.71;77.3;80;1500;1200;300;77.2490037764606;1024.12128403631;22
206.88;77.3;80;1500;1200;300;77.3262739988258;1057.30142995283;22
207.05;77.3;80;1500;1200;300;77.3562302196288;1089.15983745226;22
207.21;77.4;80;1500;1200;300;77.3810218673384;1119.588153845;22
207.38;77.5;80;1500;1200;300;77.4929758698708;1148.93620079439;22
207.55;77.5;80;1500;1200;300;77.5536059724191;1177.08255247222;22
207.71;77.6;80;1500;1200;300;77.6092343555508;1203.97573254865;22
207.88;77.7;80;1500;1200;300;77.6627553501963;1228.48543478221;22
208.05;77.7;80;1500;1200;300;77.7507331168589;1253.58631496617;22
208.21;77.7;80;1500;1200;300;77.8034087990207;1277.84316297986;22
208.38;77.8;80;1500;1200;300;77.8721585843896;1301.11456253504;22
208.55;77.9;80;1500;1200;300;77.9527723898401;1323.42665076607;22
208.71;78;80;1500;1200;300;78.0111407620236;1345.15588581823;22
208.88;78;80;1500;1200;300;78.0766450523466;1364.53452782485;22
209.05;78.1;80;1500;1200;300;78.1449924867324;1384.49769037504;22
209.21;78.2;80;1500;1200;300;78.2064943422767;1404.2159707464;22
209.38;78.2;80;1500;1200;300;78.2842401117686;1423.02711396309;22
209.55;78.4;80;1500;1200;300;78.3208788715719;1439.17989567448;22
209.71;78.4;80;1500;1200;300;78.4581927134919;1456.82806778254;22
209.88;78.5;80;800;640;160;78.5412938718896;1449.95470788683;22
210.05;78.6;80;800;640;160;78.6604923219988;1433.48127012459;22
210.21;78.7;80;800;640;160;78.7289070067565;1417.4921568887;22
210.38;78.8;79.4299999999998;800;640;160;78.835429883046;1403.67471446587;22
210.55;78.8;76.955;800;640;160;78.8911457948643;1388.67908507073;22
210.71;78.9;74.4499999999999;800;640;160;78.9504860906005;1374.36811012915;22
210.88;79.1;71.9449999999999;800;640;160;79.0336724323452;1360.805658612;22
211.05;79.1;69.4399999999999;800;640;160;79.1386618132717;1347.62983534983;22
211.21;79.1;66.9499999999999;800;640;160;79.1671781059844;1334.89527289953;22
211.38;79.1;65.0322564102564;800;640;160;79.1930208694111;1323.65106939345;22
211.55;79.2;65.1604102564103;0;640;160;79.234374294397;1312.17306872943;22
211.71;79.3;65.1604102564103;0;640;160;79.234374294397;1312.17306872943;22
211.88;79.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
212.05;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
212.21;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
212.38;79.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
212.55;79.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
212.71;79.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
212.88;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
213.05;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
213.21;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
213.38;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
213.55;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
213.71;79.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
213.88;79.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
214.05;79.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
214.21;79.7;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
214.38;79.7;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
214.55;79.7;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
214.71;79.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
214.88;79.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
215.05;79.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
215.22;79.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
215.38;79.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
215.55;79.1;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
215.72;78.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
215.88;78.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
216.05;79.1;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
216.22;79.2;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
216.38;79.1;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
216.55;79;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
216.72;79;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
216.88;78.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
217.05;78.8;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
217.22;78.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
217.38;78.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
217.55;78.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
217.72;64.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
217.88;54.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
218.05;50;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
218.22;46.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
218.38;44.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
218.55;42.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
218.72;41;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
218.88;39.2;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
219.05;37.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
219.22;36.1;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
219.38;35.1;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
219.55;33.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
219.72;32.7;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
219.88;31.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
220.05;30.8;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
220.22;29.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
220.38;29.1;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
220.55;28.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
220.72;27.7;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
220.88;27;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
221.05;26.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
221.22;25.8;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
221.38;25.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
221.55;24.8;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
221.72;24.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
221.88;23.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
222.05;23.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
222.22;23.2;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
222.38;22.8;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
222.55;22.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
222.72;22.2;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
222.88;21.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
223.05;21.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
223.22;21.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
223.38;21.1;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
223.55;20.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
223.72;20.6;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
223.88;20.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
224.05;20.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
224.22;20.2;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
224.38;20;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
224.55;19.9;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
224.72;19.7;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
224.88;19.5;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
225.05;19.4;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
225.22;19.3;65.1604102564103;0;0;0;79.234374294397;1312.17306872943;22
