Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
43.53;41.5;80.0;41.469534183370264;487.84385597657456;22.0
43.69;41.5;63.0;41.51245665559531;472.99042592332324;22.0
43.86;41.6;87.0;41.539812586975025;458.4157168630603;22.0
44.03;41.6;47.0;41.5997301264141;446.08268365559667;22.0
44.19;41.7;37.0;41.63932945564244;431.35111696784753;22.0
44.36;41.7;18.0;41.70028291342402;416.6668990126557;22.0
44.53;41.7;32.0;41.71956842858958;401.9537339484699;22.0
44.69;41.8;35.0;41.75212762280654;388.24046899551297;22.0
44.86;41.8;29.0;41.80004556771696;374.5018141523147;22.0
45.03;41.9;60.0;41.83435734818651;361.5446772888262;22.0
45.19;41.9;50.0;41.87538568422002;350.8160504588339;22.0
45.36;41.9;57.0;41.904154174739325;339.3535886962858;22.0
45.53;41.9;69.0;41.91284675020014;328.426905791541;22.0
45.69;41.9;162.0;41.9147418718286;319.2053603144087;22.0
45.86;41.9;328.0;41.914816214853005;317.5342068780531;22.0
46.03;42.0;513.0;41.934385910365314;324.12913767419406;22.0
46.19;42.1;556.0;41.994521626589815;336.8061820553214;22.0
46.36;42.1;648.0;42.05239916175367;351.9890382268054;22.0
46.53;42.1;671.0;42.095036154456466;367.7853603372262;22.0
46.69;42.1;778.0;42.114131462833505;387.71274894110553;22.0
46.86;42.1;896.0;42.122991460591855;412.15074940653494;22.0
47.03;42.2;938.0;42.17616352409829;441.30311243254107;22.0
47.19;42.3;975.0;42.22582293978856;469.8289104490429;22.0
47.36;42.3;929.0;42.3013353040042;497.70621323937127;22.0
47.53;42.3;1022.0;42.33000753835113;524.6360337998233;22.0
47.69;42.4;1017.0;42.39454168305094;551.943950644931;22.0
47.86;42.5;961.0;42.48061726406283;580.6457718234972;22.0
48.03;42.5;1010.0;42.54141579844709;605.1249276672354;22.0
48.19;42.6;992.0;42.61110164266747;630.7161134687564;22.0
48.36;42.7;953.0;42.69944777547378;654.9296881648318;22.0
48.53;42.7;1035.0;42.74494086804615;676.4680408702192;22.0
48.69;42.8;1027.0;42.82474152840957;700.4951255044491;22.0
48.86;42.9;1108.0;42.87746483860724;724.1401629854362;22.0
49.03;43.0;948.0;42.99319744664186;745.7958580942192;22.0
49.2;43.1;1029.0;43.05179817993897;763.822160722132;22.0
49.36;43.2;858.0;43.19209094747788;782.3669734623151;22.0
49.53;43.3;873.0;43.28211495991707;795.1137798856985;22.0
49.7;43.4;891.0;43.37169291658273;807.5099816716792;22.0
49.86;43.5;817.0;43.49143458949983;820.0050391427378;22.0
50.03;43.7;816.0;43.592555032206995;829.4672722923799;22.0
50.2;43.8;767.0;43.71205781031667;836.0948733437724;22.0
50.36;43.9;725.0;43.8629832454152;840.4552490470886;22.0
50.53;44.0;681.0;43.959499576806;840.191242758735;22.0
50.7;44.1;659.0;44.100603598580015;840.9510906754762;22.0
50.86;44.2;633.0;44.22837369641112;839.6428812392124;22.0
51.03;44.4;654.0;44.3560902172843;838.2000389586382;22.0
51.2;44.5;566.0;44.49854579134374;834.7273563772407;22.0
51.36;44.6;648.0;44.57551013507013;830.9450846199763;22.0
51.53;44.7;721.0;44.67093561575238;831.3046488557521;22.0
51.7;44.8;711.0;44.79159257441771;834.09718958473;22.0
51.86;44.8;777.0;44.85741227500737;836.8303254665226;22.0
52.03;45.0;869.0;44.93800349940118;845.4918692990159;22.0
52.2;45.0;862.0;45.04047753343783;854.9337992204036;22.0
52.36;45.2;887.0;45.152938666968254;865.4751321365839;22.0
52.53;45.3;838.0;45.24184923850322;872.5922356250363;22.0
52.7;45.4;860.0;45.35832977548019;880.4591361387861;22.0
52.86;45.5;780.0;45.48527885595156;886.7579974138624;22.0
53.03;45.7;778.0;45.59481472288254;890.5032464839428;22.0
53.2;45.7;696.0;45.72909582503623;892.1752116247346;22.0
53.36;45.9;586.0;45.89428606164177;891.2147464604153;22.0
53.53;46.0;607.0;46.00999534789625;886.5815126805152;22.0
53.7;46.1;631.0;46.1200160836786;883.7265386674235;22.0
53.86;46.3;681.0;46.21489255166849;883.0037832913686;22.0
54.03;46.3;676.0;46.33430047532292;881.8743621766977;22.0
54.2;46.4;782.0;46.41863463758828;882.1628887075195;22.0
54.36;46.6;854.0;46.504776169716116;887.9294902171046;22.0
54.53;46.6;797.0;46.627540332338604;894.3504181561051;22.0
54.7;46.8;859.0;46.715551850779;900.5442288933283;22.0
54.86;46.8;811.0;46.836115437508575;906.4999582886028;22.0
55.03;47.0;769.0;46.9490819838199;911.9377838269394;22.0
55.2;47.1;756.0;47.06602451016161;914.9269847155399;22.0
55.36;47.2;708.0;47.19577350452055;917.3549412819236;22.0
55.53;47.3;755.0;47.29798366051077;917.8364340493048;22.0
55.7;47.4;811.0;47.39280334508693;920.5938955901071;22.0
55.86;47.5;896.0;47.47416057069684;925.5447252640672;22.0
56.03;47.6;850.0;47.59292822312041;933.5131373288642;22.0
56.2;47.7;884.0;47.67848604018077;939.2002074585714;22.0
56.36;47.8;902.0;47.779950330100114;946.1770954686069;22.0
56.53;47.9;816.0;47.919242038003965;952.1586640722795;22.0
56.7;48.1;860.0;48.02728639244279;955.7674315398178;22.0
56.86;48.1;778.0;48.14422897495539;957.9826324145944;22.0
57.03;48.2;810.0;48.246264625788235;960.4658716591397;22.0
57.2;48.4;878.0;48.34811459124725;965.0334192777137;22.0
57.36;48.5;845.0;48.47017477495464;969.4641270332477;22.0
57.53;48.6;842.0;48.564373010869595;972.3073139600641;22.0
57.7;48.8;784.0;48.70535097259458;975.2760850462769;22.0
57.86;48.9;711.0;48.85699152131071;973.9524874400215;22.0
58.03;49.0;685.0;48.9898005853426;969.9350979856214;22.0
58.2;49.1;717.0;49.10043171423058;965.9362601459546;22.0
58.36;49.2;743.0;49.21017320722227;963.9623330465251;22.0
58.53;49.3;742.0;49.32466390165696;963.3813267855775;22.0
58.7;49.4;874.0;49.40422540892801;964.5556680402428;22.0
58.86;49.5;875.0;49.499632388108175;969.2668720928781;22.0
59.03;49.6;912.0;49.596163479507084;974.7617351489615;22.0
59.2;49.7;841.0;49.72093354593081;981.1715428734864;22.0
59.37;49.9;840.0;49.82983847405196;985.2674740125605;22.0
